component,group_partial_f_statistic,group_partial_p_value,batch_partial_f_statistic,batch_partial_p_value,unique_group_r_squared,unique_batch_r_squared,batch_partial_p_value_holm
PC1,0.13903185732581333,0.7138536704950877,7.263053381064389,0.015334054267706997,0.005697540024451831,0.29764068562623924,0.030668108535413994
PC2,0.2678710767245484,0.6114327871377119,1.7635655322883514,0.20173604985507046,0.014075189499761156,0.0926659173723734,0.20173604985507046
