analysis_type,analysis_label,direction,pathway_library,pathway,enrichment_p_value,enrichment_adjusted_p_value,overlap_count,overlap_size,overlap,input_candidate_count,gene_ratio,candidate_genes,Level1_count,Level2_count,Level3_count,Level4_count,Level5_count,strongest_candidate_origin,pathway_priority
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,KEGG_2021_Human,Nucleotide excision repair,0.0214253206888574,0.1728309202234501,2,47,2/47,96,0.020833333333333332,DDB1;RBX1,0,0,0,2,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Regulation Of BACH1 Activity R-HSA-9708530,0.0515632165556114,0.174611801517866,1,11,1/11,96,0.010416666666666666,RBX1,0,0,0,1,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Disorders Of Transmembrane Transporters R-HSA-5619115,0.0528672728534065,0.1751248516259102,3,176,3/176,96,0.03125,PSMC6;ERLIN1;CP,0,0,0,1,2,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,ABC Transporter Disorders R-HSA-5619084,0.0528900558601742,0.1751248516259102,2,77,2/77,96,0.020833333333333332,PSMC6;ERLIN1,0,0,0,1,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Transcription-Coupled Nucleotide Excision Repair (TC-NER) R-HSA-6781827,0.0528900558601742,0.1751248516259102,2,77,2/77,96,0.020833333333333332,DDB1;RBX1,0,0,0,2,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Apoptosis R-HSA-109581,0.0543338318669692,0.1766537948873605,3,178,3/178,96,0.03125,PSMC6;ROCK1;APPL1,0,0,0,1,2,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226,0.0550744230719332,0.1766537948873605,3,179,3/179,96,0.03125,RPS29;RPL12;RPL27,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Translation Of Replicase And Assembly Of Replication Transcription Complex R-HSA-9679504,0.0561182077718237,0.1766537948873605,1,12,1/12,96,0.010416666666666666,CHMP4B,0,0,0,1,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,GO_Biological_Process_2023,Regulation Of Actin Filament-Based Process (GO:0032970),0.0046493401598271,0.1768862597170586,3,70,3/70,96,0.03125,BST2;BST1;ROCK1,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,G2/M Transition R-HSA-69275,0.057325259667708,0.1791915459543043,3,182,3/182,96,0.03125,PSMC6;DCTN3;RBX1,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Signaling By NOTCH4 R-HSA-9013694,0.0578556685979003,0.1795936379393157,2,81,2/81,96,0.020833333333333332,PSMC6;RBX1,0,0,0,1,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,KEGG_2021_Human,"Neomycin, kanamycin and gentamicin biosynthesis",0.0237728924186838,0.1797824989162967,1,5,1/5,96,0.010416666666666666,HK1,0,0,0,1,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,GO_Biological_Process_2023,Regulation Of Mononuclear Cell Migration (GO:0071675),0.0049475906363984,0.1800492766376297,2,22,2/22,96,0.020833333333333332,MSN;THBS1,0,0,0,1,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Mitotic G2-G2/M Phases R-HSA-453274,0.0588498796362557,0.1810093637673634,3,184,3/184,96,0.03125,PSMC6;DCTN3;RBX1,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399,0.0591216266443737,0.1810093637673634,2,82,2/82,96,0.020833333333333332,DDB1;RBX1,0,0,0,2,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Dissolution Of Fibrin Clot R-HSA-75205,0.0606515503312197,0.1819546509936592,1,13,1/13,96,0.010416666666666666,PLG,0,0,0,1,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Activation Of Arylsulfatases R-HSA-1663150,0.0606515503312197,0.1819546509936592,1,13,1/13,96,0.010416666666666666,SUMF2,0,0,0,1,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,GO_Biological_Process_2023,Regulation Of Protein Export From Nucleus (GO:0046825),0.010113622118177,0.1833562232165798,2,22,2/22,139,0.014388489208633094,YWHAE;RANGAP1,0,0,0,1,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253,0.0616821665002103,0.1838128561706268,2,84,2/84,96,0.020833333333333332,PSMC6;RBX1,0,0,0,1,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,rRNA Processing In Nucleus And Cytosol R-HSA-8868773,0.0627447035096077,0.185200661646423,3,189,3/189,96,0.03125,RPS29;RPL12;RPL27,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Hedgehog On State R-HSA-5632684,0.0629765113428552,0.185200661646423,2,85,2/85,96,0.020833333333333332,PSMC6;RBX1,0,0,0,1,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Endosomal Sorting Complex Required For Transport (ESCRT) R-HSA-917729,0.0183689479493251,0.1858937532471707,2,30,2/30,139,0.014388489208633094,VPS25;CHMP5,0,0,0,2,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658,0.0651633459609098,0.1879226815775914,1,14,1/14,96,0.010416666666666666,GORASP2,0,0,0,1,0,Level 4,Priority 4 — Exploratory
