analysis_type,analysis_label,direction,pathway_library,pathway,enrichment_p_value,enrichment_adjusted_p_value,overlap_count,overlap_size,overlap,input_candidate_count,gene_ratio,candidate_genes
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Negative Regulation Of Wound Healing (GO:0061045),0.01137852483458559,0.029219282374811723,1,28,1/28,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Peptidyl-Arginine Modification (GO:0018195),0.002447396784007421,0.029219282374811723,1,6,1/6,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of Binding (GO:0051099),0.03658622745200291,0.05057507912482755,1,91,1/91,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of Blood Coagulation (GO:0030194),0.00854406003106021,0.029219282374811723,1,21,1/21,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of Cell Migration (GO:0030335),0.10604757698582995,0.11327809359850018,1,272,1/272,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription (GO:0045893),0.411569177801742,0.411569177801742,1,1243,1/1243,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of Endocytosis (GO:0045807),0.0318265159386692,0.04748718251166515,1,79,1/79,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of Erythrocyte Differentiation (GO:0045648),0.010569367707465128,0.029219282374811723,1,26,1/26,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745),0.007327218016560334,0.029219282374811723,1,18,1/18,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of Myeloid Cell Differentiation (GO:0045639),0.014609641187405861,0.029219282374811723,1,36,1/36,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731),0.05192084151120887,0.06338388444225498,1,130,1/130,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of Protein Binding (GO:0032092),0.023850120799004282,0.03799203778739911,1,59,1/59,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of Protein Phosphorylation (GO:0001934),0.14439311526135973,0.14915332785239357,1,377,1/377,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of RNA Splicing (GO:0033120),0.014609641187405861,0.029219282374811723,1,36,1/36,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),0.01742964446694318,0.03150743422870498,1,43,1/43,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of Response To External Stimulus (GO:0032103),0.061643317603202394,0.07153668956421019,1,155,1/155,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of Response To Wounding (GO:1903036),0.010974015229362423,0.029219282374811723,1,27,1/27,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of Signal Transduction (GO:0009967),0.103813860420054,0.11216669976419628,1,266,1/266,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of Smooth Muscle Cell Migration (GO:0014911),0.006515298792229137,0.029219282374811723,1,16,1/16,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),0.3268391761511096,0.3303535758946699,1,938,1/938,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0030949),0.003669222104963189,0.029219282374811723,1,9,1/9,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of Wound Healing (GO:0090303),0.016221896278170608,0.029899181375451712,1,40,1/40,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Positive Regulation Of mRNA Processing (GO:0050685),0.01137852483458559,0.029219282374811723,1,28,1/28,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,"Positive Regulation Of mRNA Splicing, Via Spliceosome (GO:0048026)",0.00935459726553651,0.029219282374811723,1,23,1/23,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Protein Methylation (GO:0006479),0.014206233562346123,0.029219282374811723,1,35,1/35,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,RNA Biosynthetic Process (GO:0032774),0.01178289656074228,0.029219282374811723,1,29,1/29,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",0.07128256528970776,0.08111710346305692,1,180,1/180,6,0.16666666666666666,SRRM2
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Receptor Signaling Pathway Via JAK-STAT (GO:0007259),0.014609641187405861,0.029219282374811723,1,36,1/36,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Receptor Signaling Pathway Via STAT (GO:0097696),0.01259122652624839,0.029219282374811723,1,31,1/31,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Blood Coagulation (GO:0030193),0.01178289656074228,0.029219282374811723,1,29,1/29,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Cell Adhesion (GO:0030155),0.05737571573262356,0.06914509331880275,1,144,1/144,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Cell Cycle Process (GO:0010564),0.05192084151120887,0.06338388444225498,1,130,1/130,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),0.2747341813258004,0.2807066635285352,1,766,1/766,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),0.032864941122609924,0.04774950815928131,3,1922,3/1922,6,0.5,PRMT5;STAT5B;ZNHIT3
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Developmental Growth (GO:0048638),0.01178289656074228,0.029219282374811723,1,29,1/29,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Endopeptidase Activity (GO:0052548),0.027845135560151422,0.042216818429906995,1,69,1/69,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Erythrocyte Differentiation (GO:0045646),0.014609641187405861,0.029219282374811723,1,36,1/36,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Fibrinolysis (GO:0051917),0.006515298792229137,0.029219282374811723,1,16,1/16,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Gene Expression (GO:0010468),0.0716246764620609,0.08111710346305692,2,1127,2/1127,6,0.3333333333333333,PRMT5;ZNHIT3
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Intracellular Signal Transduction (GO:1902531),0.11530485653354572,0.12178265746239661,1,297,1/297,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Mitotic Cell Cycle (GO:0007346),0.04996630843243027,0.06338388444225498,1,125,1/125,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Mitotic Nuclear Division (GO:0007088),0.02264895208757452,0.03799203778739911,1,56,1/56,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Multicellular Organism Growth (GO:0040014),0.00610913170261026,0.029219282374811723,1,15,1/15,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Nuclear Division (GO:0051783),0.00773297022664962,0.029219282374811723,1,19,1/19,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),0.01304024758635315,0.029219282374811723,2,452,2/452,6,0.3333333333333333,PRMT5;ZNHIT3
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730),0.03619033110002099,0.05057507912482755,1,90,1/90,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Protein Binding (GO:0043393),0.047224321852983815,0.060809400742198344,1,118,1/118,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Receptor-Mediated Endocytosis (GO:0048259),0.01581903874183898,0.029739792834657282,1,39,1/39,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796),0.019038053137908715,0.0331403147215448,1,47,1/47,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Smooth Muscle Cell Migration (GO:0014910),0.00773297022664962,0.029219282374811723,1,19,1/19,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0030947),0.008949397700712269,0.029219282374811723,1,22,1/22,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Wound Healing (GO:0061041),0.019038053137908715,0.0331403147215448,1,47,1/47,6,0.16666666666666666,VTN
