analysis_type,analysis_label,direction,pathway_library,pathway,candidate_gene,row_position,Gene.name,Accession,candidate_origin,log2FC,t_statistic,p_value,q_value
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",PPP1R14A,1594,PPP1R14A,Q96A00,Level 4,-2.272348256853384,-2.1953965652823646,0.0414872907109319,0.3490083154639287
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",RAB7A,966,RAB7A,P51149,Level 5,-0.3722216352064933,-3.1730199500384666,0.0052655250384848,0.154354207510607
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",RANGAP1,1951,RANGAP1,P46060,Level 4,-4.005789888424889,-3.986816231322594,0.0008648560688764,0.0653631605900827
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",SEC13,1027,SEC13,P55735,Level 5,-0.5378419917533712,-2.6296140039722293,0.0170052202426072,0.2629920469856457
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",STBD1,212,STBD1,O95210,Level 4,-1.279327768759721,-2.350192609166095,0.0303685696836406,0.3124305729233183
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",STK10,199,STK10,O94804,Level 4,-1.2010462433389186,-2.606723320052514,0.0178452502590569,0.2697378212234382
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",YWHAE,1101,YWHAE,P62258,Level 5,-0.2895169058524658,-2.424702397672465,0.0260687852229346,0.2977190705721081
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Signaling By TGF-beta Receptor Complex R-HSA-170834,ITGB1,388,ITGB1,P05556,Level 4,-0.6331966036459988,-2.386862555517469,0.0281758148681036,0.2977190705721081
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Signaling By TGFB Family Members R-HSA-9006936,ITGB1,388,ITGB1,P05556,Level 4,-0.6331966036459988,-2.386862555517469,0.0281758148681036,0.2977190705721081
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Signaling By WNT R-HSA-195721,GNG12,1823,GNG12,Q9UBI6,Level 4,-2.07269741178386,-3.1457271724753757,0.0055904716187345,0.154354207510607
