sample,PC1,PC2,group,batch
NDM_B1_01,-11.570761451316423,5.881669726321859,NDM,B1
NDM_B1_02,-13.904274109692475,21.443700702453807,NDM,B1
NDM_B1_03,-19.233088954753647,13.687856709339892,NDM,B1
NDM_B1_04,-20.90450918863239,19.1522579067695,NDM,B1
NDM_B1_05,-23.357469293036523,4.179841433301671,NDM,B1
NDM_B2_06,3.580510063874706,6.40717706448092,NDM,B2
NDM_B2_07,17.200667213627955,8.7704628584365,NDM,B2
NDM_B2_08,10.195366597306457,10.190311488581543,NDM,B2
NDM_B2_09,15.101984810205009,12.136925029198713,NDM,B2
NDM_B2_10,23.957259861387058,4.7836903271135585,NDM,B2
DM_B1_11,-17.77485553474678,-26.402321363994535,DM,B1
DM_B1_12,-20.56564552144715,-9.107814503484185,DM,B1
DM_B1_13,-24.968778347512878,-20.18956764413037,DM,B1
DM_B1_14,14.091089636469935,-10.88168508617149,DM,B1
DM_B1_15,-5.947098960014236,-7.336987577668452,DM,B1
DM_B2_16,16.65507298653772,-9.618724484565444,DM,B2
DM_B2_17,14.967594578862325,-3.6451073441286717,DM,B2
DM_B2_18,11.453355885167563,-4.262634364858262,DM,B2
DM_B2_19,14.794407645463616,-7.637275796433597,DM,B2
DM_B2_20,16.22917208225018,-7.5517750805628685,DM,B2
