Accession,PeptideCounts,Name,Gene.name,NDM_B1_01,NDM_B1_02,NDM_B1_03,NDM_B1_04,NDM_B1_05,NDM_B2_06,NDM_B2_07,NDM_B2_08,NDM_B2_09,NDM_B2_10,DM_B1_11,DM_B1_12,DM_B1_13,DM_B1_14,DM_B1_15,DM_B2_16,DM_B2_17,DM_B2_18,DM_B2_19,DM_B2_20,Number of samples imputed,Fold-change (DM/NDM,pValue,qValue,tStatistic,RepeatedlySignificant
P07737,9,Profilin-1,PFN1,420140060.47251,289311160.372573,404152355.869714,486995525.344823,450424289.706757,484203880.625084,541704806.7498,440086822.44326,486305310.627976,809669886.640976,413059358.343018,288836221.981012,291657352.051164,549079971.644172,544392051.766544,668344792.197291,489742362.852341,522957363.659114,546078220.252306,590436831.163435,0,1.0190298232609,0.881059920296151,0.825812662811676,0.151489217527464,False
P07738,12,Bisphosphoglycerate mutase,BPGM,14987403.0081164,42281864.1153577,40023036.7030615,12470241.6511003,51661773.9055718,23400424.2213059,26546529.7497115,17838410.2738216,1059857.44102057,20838279.3409691,29928262.2007305,59571456.4215005,4608494.47362016,23597848.6748466,2754269.03590323,22503082.2571255,20447515.4905162,28401870.1219401,32489021.6187376,26278365.143121,0,0.997898771248409,0.922494179191105,0.827857818900173,0.0984884155501165,False
P07741,9,Adenine phosphoribosyltransferase,APRT,55306886.819862,49038560.4337939,55995375.3139265,54809830.4276668,61878007.0523695,70832641.0988652,80303957.5028845,89638569.7739594,83466292.1529961,69983327.4887604,61834778.0333721,51087331.957711,38223008.8360962,61764903.6306748,57003669.1821613,56997834.2171013,78516915.8007203,72808387.0998271,66882898.4744077,40768304.8014774,0,0.87282684911697,0.167334801264473,0.521118528909864,-1.43119295767638,False
P07814,20,Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase,EPRS,8890625.53654975,15385031.0267623,10287173.5940609,6073095.23627216,8009304.42651303,21897608.1776182,22857253.8537321,12167626.5322062,30350005.1432935,33441146.9117962,10633695.1108252,14314677.7179576,4192274.33773223,31576168.9411043,11612222.6098289,9957544.00404285,22888688.3884754,43067977.4374374,25340321.3307108,22689400.2446907,0,1.15891756725979,0.617105815693934,0.755192054657026,0.50760932890777,False
P07858,8,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,CTSB,19590271.3185308,22840526.8313801,10024509.7200161,24682150.3079548,15538268.8302232,18765967.6841082,22420977.0728677,17737943.6327299,17833041.7496182,73557852.3157068,15405398.0281421,23023314.3228262,39683696.3803781,16912938.190184,23531197.9039693,16756601.5961189,31106107.1582233,15207816.1384111,31422505.510038,18838249.0812558,0,0.954304225780887,0.819053311561829,0.817186231250049,0.231697575498374,False
P07900,35,Heat shock protein HSP 90-alpha,HSP90AA1,400912124.628428,461599969.363302,501405178.716538,380030533.250441,487607919.418802,486432239.807251,578000380.762403,412625940.544886,672174954.851316,623274422.250767,421205108.592064,400104980.092914,321477616.796019,547268280.638037,464306760.951954,589601761.338185,571871676.048019,565834850.0819,551081211.824019,588286240.027701,0,1.00339220760123,0.981525313190204,0.843797505224354,0.023438731364247,False
P07910,11,Heterogeneous nuclear ribonucleoproteins C1/C2;Heterogeneous nuclear ribonucleoprotein C-like 4;Heterogeneous nuclear ribonucleoprotein C-like 1;Heterogeneous nuclear ribonucleoprotein C-like 3;Heterogeneous nuclear ribonucleoprotein C-like 2,HNRNPC;HNRNPCL4;HNRNPCL1;HNRNPCL3;HNRNPCL2,8204482.92643524,11202041.8217597,3793391.35644657,17217815.8379388,12912088.7378131,30830940.9704135,12196673.1228366,11880824.326013,23202012.230707,36876291.9460501,9254503.2258011,13976557.0235614,4889259.84761621,36204007.4858896,20507038.5468552,20629903.3539519,5959333.83913565,5676292.07407407,47771808.7104359,26924206.2465374,2,1.13947734328969,0.907562885578043,0.826708499711055,0.117546318604138,False
P07919,4,"Cytochrome b-c1 complex subunit 6, mitochondrial",UQCRH,2184882.91092615,8148901.04915165,8474933.49223335,10824044.3697771,9963812.71475468,6485718.98395418,12676909.3512026,9023965.22420288,13272565.1814752,4680960.30089916,2551916.01276698,1349710.18789076,2786667.02766097,3122529.71386503,3555405.5512789,3161962.25825753,8178377.95318127,3973948.71189371,904425.942575511,4375191.81209603,3,0.396098027040692,0.00142364518819537,0.0984051751793808,-3.67992380506311,False
P07942,44,Laminin subunit beta-1,LAMB1,127022739.492594,121607456.782403,74824046.8323106,63156472.1915392,70368886.8382207,235171477.975147,82558330.6785302,88204558.7429937,92443680.9496002,57120373.2234354,82307763.659306,56146970.0286558,83729238.2649612,145325138.04908,121686274.552176,47308534.8724479,86198533.0189676,77312138.9462189,76945503.3129861,78310722.8993537,0,0.844730253475457,0.442858336218571,0.683685726064029,-0.782401135621925,False
P07947,5,Tyrosine-protein kinase Yes;Tyrosine-protein kinase Fyn,YES1;FYN,1791145.02869181,883787.339783408,2129564.36406049,1382459.8311309,4615011.40639803,893028.206296262,294445.35590663,4808573.87563172,1790698.52896008,1820206.72810961,2179475.7581413,2131783.35402918,4343442.4947799,5618688.28408998,5570698.1350741,1507006.05263796,2033036.51581632,5733694.500364,398836.459857117,1073503.40858726,6,1.49886245654744,0.25774395845658,0.587927183588789,1.16387912751548,False
P07954,16,"Fumarate hydratase, mitochondrial",FH,48073462.9649495,70085093.2626377,60648635.3788018,41740775.0576873,8385670.29092952,80268681.1119233,67370756.2785125,47405656.8781586,92603196.8825802,77632543.8628417,14800285.1524988,39849552.5587588,34075970.3236972,55104454.796728,32508267.5061102,39383605.3296948,55483731.5164466,36780073.1413231,21145245.2898354,45121924.3259465,0,0.629828332354299,0.100482432190579,0.437355574810954,-1.71947240474466,False
