analysis_type,direction,pathway_library,pathway,enrichment_adjusted_p_value,candidate_gene_count,candidate_genes_reconstructed
primary_fdr,increased,GO_Biological_Process_2023,Regulation Of Nuclear Division (GO:0051783),0.0292192823748117,1,PRMT5
primary_fdr,increased,GO_Biological_Process_2023,Regulation Of Receptor-Mediated Endocytosis (GO:0048259),0.0297397928346572,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796),0.0331403147215448,1,PRMT5
primary_fdr,increased,GO_Biological_Process_2023,Regulation Of Smooth Muscle Cell Migration (GO:0014910),0.0292192823748117,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0030947),0.0292192823748117,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Regulation Of Wound Healing (GO:0061041),0.0331403147215448,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Response To Epidermal Growth Factor (GO:0070849),0.0292192823748117,1,STAT5B
primary_fdr,increased,GO_Biological_Process_2023,Response To Estradiol (GO:0032355),0.0292192823748117,1,STAT5B
primary_fdr,increased,GO_Biological_Process_2023,Response To Organic Cyclic Compound (GO:0014070),0.0379920377873991,1,STAT5B
primary_fdr,increased,GO_Biological_Process_2023,Response To Peptide (GO:1901652),0.0295736349290624,1,STAT5B
primary_fdr,increased,GO_Biological_Process_2023,Response To Peptide Hormone (GO:0043434),0.0379920377873991,1,STAT5B
primary_fdr,increased,GO_Biological_Process_2023,Small Nucleolar Ribonucleoprotein Complex Assembly (GO:0000491),0.0292192823748117,1,ZNHIT3
primary_fdr,increased,GO_Biological_Process_2023,Spliceosomal snRNP Assembly (GO:0000387),0.0294002844998844,1,PRMT5
primary_fdr,increased,GO_Biological_Process_2023,Taurine Metabolic Process (GO:0019530),0.0292192823748117,1,STAT5B
primary_fdr,increased,GO_Biological_Process_2023,snoRNA Localization (GO:0048254),0.0292192823748117,1,ZNHIT3
primary_fdr,increased,Reactome_2022,COPI-independent Golgi-to-ER Retrograde Traffic R-HSA-6811436,0.0449789036402694,1,DCTN6
primary_fdr,increased,Reactome_2022,Complement Cascade R-HSA-166658,0.0480107810801056,1,VTN
primary_fdr,increased,Reactome_2022,Downstream Signal Transduction R-HSA-186763,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,ECM Proteoglycans R-HSA-3000178,0.0480107810801056,1,VTN
primary_fdr,increased,Reactome_2022,Elastic Fibre Formation R-HSA-1566948,0.0449789036402694,1,VTN
primary_fdr,increased,Reactome_2022,Erythropoietin Activates STAT5 R-HSA-9027283,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,FGFR1 Mutant Receptor Activation R-HSA-1839124,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,FLT3 Signaling In Disease R-HSA-9682385,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,FLT3 Signaling R-HSA-9607240,0.0449789036402694,1,STAT5B
primary_fdr,increased,Reactome_2022,Growth Hormone Receptor Signaling R-HSA-982772,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497,0.0449789036402694,1,DCTN6
primary_fdr,increased,Reactome_2022,Inactivation Of CSF3 (G-CSF) Signaling R-HSA-9705462,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,Interleukin-15 Signaling R-HSA-8983432,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,Interleukin-2 Family Signaling R-HSA-451927,0.0449789036402694,1,STAT5B
primary_fdr,increased,Reactome_2022,Interleukin-2 Signaling R-HSA-9020558,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,Interleukin-20 Family Signaling R-HSA-8854691,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,Interleukin-21 Signaling R-HSA-9020958,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,"Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988",0.0449789036402694,1,STAT5B
primary_fdr,increased,Reactome_2022,Interleukin-7 Signaling R-HSA-1266695,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,Interleukin-9 Signaling R-HSA-8985947,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,Metabolism Of Non-Coding RNA R-HSA-194441,0.0478084118089394,1,PRMT5
primary_fdr,increased,Reactome_2022,Molecules Associated With Elastic Fibres R-HSA-2129379,0.0421005851346799,1,VTN
primary_fdr,increased,Reactome_2022,Non-integrin membrane-ECM Interactions R-HSA-3000171,0.0449789036402694,1,VTN
primary_fdr,increased,Reactome_2022,Prolactin Receptor Signaling R-HSA-1170546,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,RMTs Methylate Histone Arginines R-HSA-3214858,0.0475802418994404,1,PRMT5
primary_fdr,increased,Reactome_2022,Regulation Of Complement Cascade R-HSA-977606,0.0449789036402694,1,VTN
primary_fdr,increased,Reactome_2022,Regulation Of TP53 Activity Thru Methylation R-HSA-6804760,0.0421005851346799,1,PRMT5
primary_fdr,increased,Reactome_2022,STAT5 Activation Downstream Of FLT3 ITD Mutants R-HSA-9702518,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,STAT5 Activation R-HSA-9645135,0.0421005851346799,1,STAT5B
