analysis_type,analysis_label,direction,pathway_library,pathway,enrichment_p_value,enrichment_adjusted_p_value,overlap_count,overlap_size,overlap,input_candidate_count,gene_ratio,candidate_genes,candidate_gene_count,candidate_genes_reconstructed,cluster_id,cluster_size,is_singleton_cluster,is_representative
primary_fdr,PRIMARY — FDR-supported pathway analysis,decreased,GO_Biological_Process_2023,Gene Expression (GO:0010467),0.007940429485674,0.0464680270675297,2,296,2/296,11,0.1818181818181818,MRPL12;HSPD1,2,HSPD1;MRPL12,C001,1,True,True
primary_fdr,PRIMARY — FDR-supported pathway analysis,decreased,GO_Biological_Process_2023,Regulation Of Signal Transduction (GO:0009966),0.0034497819735435,0.0464680270675297,2,193,2/193,11,0.1818181818181818,GAS1;POFUT1,2,GAS1;POFUT1,C002,1,True,True
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),0.0130402475863531,0.0292192823748117,2,452,2/452,6,0.3333333333333333,PRMT5;ZNHIT3,2,PRMT5;ZNHIT3,C003,3,False,True
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,"mRNA Splicing, Via Spliceosome (GO:0000398)",0.0029624009413051,0.0292192823748117,2,211,2/211,6,0.3333333333333333,PRMT5;SRRM2,2,PRMT5;SRRM2,C003,3,False,False
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),0.0328649411226099,0.0477495081592813,3,1922,3/1922,6,0.5,PRMT5;STAT5B;ZNHIT3,3,PRMT5;STAT5B;ZNHIT3,C003,3,False,False
