,median_correlation_to_other_samples
NDM_B1_01,0.9013499727075688
NDM_B1_02,0.9739184279891148
NDM_B1_03,0.9841951179733389
NDM_B1_04,0.9129134251555443
NDM_B1_05,0.971205755215995
NDM_B2_06,0.9856202213384517
NDM_B2_07,0.931588812170511
NDM_B2_08,0.9873342736094048
NDM_B2_09,0.9827464553020977
NDM_B2_10,0.9885653280764605
DM_B1_11,0.980464601517366
DM_B1_12,0.9688622524776384
DM_B1_13,0.8642096569828368
DM_B1_14,0.9798533343128303
DM_B1_15,0.8333299206670413
DM_B2_16,0.9874817080405172
DM_B2_17,0.9467606819844586
DM_B2_18,0.9831638674957547
DM_B2_19,0.9728346145061236
DM_B2_20,0.9814295623250384
