component,group_partial_f_statistic,group_partial_p_value,batch_partial_f_statistic,batch_partial_p_value,unique_group_r_squared,unique_batch_r_squared,batch_partial_p_value_holm
PC1,0.13903185732580964,0.7138536704950895,7.263053381064384,0.01533405426770702,0.00569754002445168,0.2976406856262391,0.03066810853541404
PC2,0.267871076724545,0.6114327871377145,1.763565532288357,0.20173604985506957,0.014075189499760981,0.09266591737237372,0.20173604985506957
