sample,missing_percent,median_correlation_to_others,robust_pca_distance,sample_median_abundance,high_missingness_flag,low_correlation_flag,high_pca_distance_flag,abnormal_median_abundance_flag,number_of_flags,potential_outlier
NDM_B1_01,0.0,0.8820975319450403,1.150560519234095,22.89992279819624,False,False,False,False,0,False
NDM_B1_02,0.0,0.8655577121022137,2.044973071656471,23.006162768424094,False,False,False,False,0,False
NDM_B1_03,0.0,0.8732354176241235,1.807980571558784,22.770341657726274,False,False,False,False,0,False
NDM_B1_04,0.0,0.8665246449787442,2.1202469047615624,22.974640723746,False,False,False,False,0,False
NDM_B1_05,0.0,0.8707785004858558,1.7815803061313507,22.66684718008143,False,False,False,False,0,False
NDM_B2_06,0.0,0.8941648790345493,0.5779976199906857,23.09446813459915,False,False,False,False,0,False
NDM_B2_07,0.0,0.8964936332205082,0.9363141912085614,23.23233382862119,False,False,False,False,0,False
NDM_B2_08,0.0,0.8907786773483362,0.8046208866081922,23.20926121979303,False,False,False,False,0,False
NDM_B2_09,0.0,0.8959144654436321,1.0363676456251723,23.366890315201392,False,False,False,False,0,False
NDM_B2_10,0.0,0.8909052718765823,1.0632045507925032,23.444782104933182,False,False,False,False,0,False
DM_B1_11,0.0,0.8705048905123248,2.3144180151344456,22.69468066934928,False,False,False,False,0,False
DM_B1_12,0.0,0.8717404776391803,1.7323098752681678,22.677710563907045,False,False,False,False,0,False
DM_B1_13,0.0,0.8648804732006218,2.324181063458993,22.654561034601535,False,False,False,False,0,False
DM_B1_14,0.0,0.8923635852914908,0.8735844911043374,23.258703556161805,False,False,False,False,0,False
DM_B1_15,0.0,0.8739102272880761,0.8930955267933723,23.040564109387955,False,False,False,False,0,False
DM_B2_16,0.0,0.8907786773483362,0.8883966139370687,23.177948682962217,False,False,False,False,0,False
DM_B2_17,0.0,0.9028831205052227,0.5437880395732678,23.212098040535043,False,False,False,False,0,False
DM_B2_18,0.0,0.8909052718765823,0.3927628319340362,23.247461956015787,False,False,False,False,0,False
DM_B2_19,0.0,0.8964936332205082,0.7611232536759207,23.203515913806896,False,False,False,False,0,False
DM_B2_20,0.0,0.8997240510808725,0.7813216484213902,23.19560011919677,False,False,False,False,0,False
